,Text,Sentiment
2753,منتظر پیام یکیام، هنوز سین هم نکرده اعصابم لهه فعلا,Negative
2754,گر مرا هیچ نباشد نه به دنیا نه به عقبی چون #تو دارم همه دارم دگرم هیچ نباید لحظه هاتون همیشه شاد و دلتون خوش,Positive
2756,تغییر و بهبود یک شبه تو زندگی آدم به وجود نمیآد. توی یک شرکت موفقیت به مراتب کندتره و بهبود یک کشور به همین منوال...,Neutral
2757,خر شاخ و دم نداره,Negative
2758,دوستم امروز زنگ زد بهم داشت پاره میشد از خنده. گفت وسط بحث فوتبال تو شرکت در مورد موندن یا نموندن تیام توی استقلال، یکی از دخترهای شرکت اومد تو بحث شرکت کنه گفت: تیام همون سیاهپوسته است که بازی با ذوب آهن تری سام کرد؟,Positive
2759,یک ضرب المثل معروف وجود دارد با این مضمون: «هیچ وقت با یک خوک کُشتی نگیر، چرا که تو لجن مال میشوی و او لذت میبرد!» کنایه از جر و بحثِ بیهوده با انسانهای بیهوده است. ضربالمثل را جلوی رویم گذاشتم و حفظش میکنم و به خاطر قدرتِ سکوتِ ذاتیای که دارم، شکرگزارم.,Neutral
2760, دوست دارم ازدواج کنم اما نمیتونم.  دیگه از من گذشت، دوس داشتم توی اوج جوونیم ازدواج کنم اما نشد، تا ده سال دیگه که عمرم تموم میشه دیگه ازدواج به چه دردم میخوره، آره... من دیگه متوجه این هستم که قراره تا آخر عمر تنها باشم، من از تنهایی متنفرم متنففففرم. خدا از باعث و بانی هاشون نگذره ???,Negative
2761,رهبر معظم انقلاب در دیدار اخیر با مسئولان دفتر تبلیغات اسلامی: دستگاههای مختلفی در فضای مجازی حضور دارند اما حضور در این فضا باید یک حضور جریانساز باشد. #حضور_جریانساز,Neutral
2764,سخن بزرگان: 《من نمیتونم در این مورد نظر بدم.》,Neutral
2765,ای لعنت بهت سوزان روشن,Negative
2766,من تو پیشنهاد شگفت انگیز خریدم، راضیم اما صداش زیاد قوی نیست.,Neutral
2767,مامانم امروز فقط لب گزید حرص خورد هی گفت مامان آروم باش فقط آروم باش :)))) چقدر اعصابم کیریه خدایااا :))))),Negative
2769,اگه جریان انقلابی علم مبارزه با فساد این شرکت ها ،افشای بی لیاقتی مسئولان و به طور کل مطالبه ی بهبود شرایط معیشتی و اقتصادی رو به دست بگیره، اصلی ترین و درست ترین اصلاح خواهی رو شاهد خواهیم بود : ((تغییر وضع موجود بدون تخریب انقلاب و نظام)) #جلیلی #قالیباف #رئیسی #انقلابی_باشیم …,Neutral
2770,"روز آخر اطفال میخوام یه نامه بنویسم بدم چیف رزیدنت، با این مضمون که ""گرد سم خران شما نیز بگذرد""",Neutral
2771,علیزاده طباطبایی از ابلاغ وقطعی شدن رای دیوان عالی کشور درباره #محمدعلی_طاهری خبر دادو گفت: همان ۵سال حبس که صادر شده بود، تایید شد که الان نزدیک به ۲/۵آن سپری شده/ امیدواریم آقای طاهری را طبق وعدهای که داده بودند این هفته آزاد کنند؛ چراکه ایشان بیش ازنصف حبس خودرا تحمل کرده,Neutral
2773,برخی ازصفات #منافق منافق هر لحظه از افشا شدن چهره اش نگران است.(64- توبه) داعيه #اصلاحطلبى دارند؛درحالى كه مفسد واقعى هستند.(بقره،11) پيمانشكن و دروغگو هستند.(توبه،77) سوگند دروغ يكى از ابزاركار آنان براى گمراه ساختن مردم است.(توبه، 56) #شفافیت_آراء_نمایندگان #دار_المنافقین,Neutral
2774,شیوه زندگی بر داوری ما اثر میگذارد. تلقی مثبت یا منفی ِملتها نسبت به گُرگ بستگی به این دارد که شیوه تولید آنها کشاورزی بوده یا دامداری. در حالت اول، گرگ جانوری مثبت است چون جوندگان موذی را از میان میبرد، در حالت دوم، گرگ نامطلوب است چون به دارایی انسان صدمه میزند. #محمد_قائد,Neutral
2775," ""این محصول عالیییهطرف با پوشش پزشک از کالیفرنیا اومده دایرکت و هی سوال میپرسه، میگه اوضاع اقتصادتون چه طوره؟ گفتم عالی و بلاکش کردم آخه مرتیکه به توچه کشور خودمونه هر چقدر هم اوضاع داغون نباشه میمونیم و میسازیمش. هرچقدر اختلاف نداشته باشیم همه زیر این پرچم داریم نفس میکشیم و جون میدیم براش.",Negative
2777,یک دوست آمریکایی: سال 1976 در ایران زندگی میکردم. شاهنشاه پهلوی، مردمش را سهامدار میکرد و بسیار برنامه های عالی دیگری داشت برای اینکه (سطح رفاع زندگی) مردمش را بالا ببرد. #جاوید_شاه …,Positive
2779,كاش نمایندههای مجلس برای اعتراض، به جاى پرچم آمريكا ويزاهاشونو آتيش ميزدن و بچهها شونو از اونجا برمیگردوندن و حساباشونو تو اونجا میبستن! #مجلس,Neutral
2780,الحمدلله. شماره هشتم فصلنامه #ترجمان هم منتشر و در کتابفروشیها و دکّهها توزیع شد. پرونده این شماره درباره شیوههای بروز خشم در شبکههای اجتماعی است. بخرید و بخوانید و هدیه دهید. #ريتوييت_لطفا,Positive
2788,فرداد روزنامه نگار خوب و خوش فکریه، امیدوارم این طرح خوب پیش بره ، اما در نهایت امیدوارم هرچقدر هم این طرح موفقیت آمیز بود، باز برگرده پیش خودمون تو بی بی سی. …,Positive
2789, خفه شین دیگه با این کامنتتون فقط موج منفی میفرستین و مردم رو ترسو تر میکنین. فکر میکنین کارتون درسته. فقط خفه شین لطفا یه چیز یاد گرفتین هی تکرار میکنین,Negative
2790,استاد جواد خیابانی همین چند دقیقه پیش به زبان عربی داشت کلماتی را با لهجه عالی بر زبان می راند، ناگهان به عربی گفت : « هرمزگان !!!» و برگ هایم بود که ریخت و به شکوفه گیلاس تبدیل شد #استاد_جواد_خیابانی #فوتبال_آسیایی,Positive
2791,دلیلش میتونه یه خشم سرکوب شده باشه که همینطور جمع شده و روز به روز بیشتر شده. خشم از وضع موجود. نا امیدی به آینده. گسترش نابرابری. مقایسه وضعیت آدمهای دارای بینش عمیق با ظاهر بین های سطحی. شاید تنها جای بروز اون خشم توییتر باشه پشت اکانت های فیک و فیلتر شکنی که امنیت داده. …,Negative
2792,سوییسیای کسخل رفتن رفراندوم واسه بریدن یا نبریدن شاخ گاواشون برگزار کردن... آخه گاو؟ گااووو؟ گگگگگگاووووووووو؟,Negative
2793,وقتی که نه یاد گرفتی دولوپر باشی، نه مدیر و نه صاحب بیزنس. ولی توهم داری که همه این کارها رو عالی کردی  …,Neutral
2795,تثبیت و اجرای موفق هر طرح امپریالستی،اعم از تجاوز،کودتا یا انقلاب مخملین،امکان تداوم،گسترش و پیادهسازی طرحهای احتمالی و بعدی امپریالستی را در پی دارد و شکست هر برنامه اش،امکان عدم توانایی در تدارک جهت تجاوزات و تداخلات بعدی را.یکبار برای همیشه. #نه_به_کودتای_آمریکایی #ونزوئلا,Neutral
2796,یک شب پر از آرامش یک دل شاد و بی غصه یک زندگی آروم و عاشقانه و یک دعای خیر از ته دل نصیب لحظه هاتون شبتون بخیر,Positive
2797,کردستان و واکنش هوشمندانه و غافلگیر کننده مردم عملا نقشه ج ا رو نقش بر آب کرد. . چرا اهواز انتخاب شد. این سوال کلیدیست که باید پاسخ داده شود. خوزستان در چند سال اخیر کانون اعتصابات کارگری،صنفی ،اعتراضات معیشتی و زیست محیطی بوده و نقش پیشرو رو ایفا کرده. ج ا اصلی ترین ذی نفع از,Neutral
2798,واورینکا داره حسابی شاخ میشه برا دیوکوویچ#usopen,Neutral
2801, جواب اینهمه ظلم وفقروتنگدستی که بین مردم راه انداختن .جواب اختلاس ودزدی رو کی میده .عجب امام علی داریم پس نشسته و فقط داره نگاه میکنه به اینهمه ظلم,Negative
2802,وقتی غمگین هستید، دنیا شما را به سخره میگیرد. وقتی خوشحالید، دنیا به شما لبخند میزند. اما وقتی دیگران را خوشحال میکنید، دنیا به شما تعظیم میکند,Positive
2804,فیلم ترسناک ببینم بعد بخوابم یا مث آدمای نرمال لگیرم بخوابم؟,Neutral
2805, تو برو کس و کون تو هوا کن تا خوشحال بشی.... کسی که به دنبال پاکی و کس و کون هوا کردن نیست میشه افسرده....نشاط به چنده بازی و کس دادن شما شاد باش,Negative
2806, اگه طبق خواسته های دولت عمل کنه قطعا ترس . ولی اگه بخواد از حق مردم دفاع کنه احساس امنیت,Neutral
2807,چشمِ دل بُگشا و در جـانها نِگر! چون بیامد چون شد و چون میرود... سوی آن دل جان من پر میزند.. کو لطیف و شاد و موزون میرود... مولانا برای تو که بهترینی,Positive
2808,متنفرم از اینایی که وقتی ازدواج میکنن، اول کلی پستهای مصنوعی با جملات قصار احمقانه میذارن. بعد یهو یه مدت غیب میشن. آدمو آنفرند و بلاکآنبلاک میکنن. یه مدت خبری ازشون نیست. یکی دو سال بعد باز پیداشون میشه میان اد میکنن. کلا از هرگونه آدم که مشابهش زیاد باشه، متنفرم!,Negative
2810,ما هم بچه میکشیم ولی خشونت خط قرمزمونه.,Neutral
2811,گرافیک و گیم پلی حیرت انگیزی داره که لذت بازی رو چند برابر میکنه,Positive
2813,من اصولاً آدم انتقاد پذیری هستم ولی وقتی یکی از نحوه قهوه درست کردنم ایراد میگیره، مخصوصا به حجم فوم روی قهوه ترکی که درست میکنم، دلم میخواد با ارّه شکمشو پاره کنم، رودههاشو بیرون بکشم و باهاش دست و پاشو ببندم و بعد همون فنجون قهوه رو فرو کنم تو حلقش تا خفه شه.,Negative
2815, اما انقد مسخرست که اینم بعد یمدت صدا درست نمیره. باید خاموش و روشن کنی تا درست شهدوباره برم گردوندن و سرجمع 3سال و 4ماه زندانی بودم نمیدونستم چقدر ممکنه اونجا نگرم دارن چون بهم گفته بودن بابات به ما سفارش کرده اونقدر بزنیمت تا بمیری، همین نتونستن بکشنم، میخواستن ولی نشد دومین باری که از زندان اومدم بیرون مسلمأ از همه متنفر بودم و نمیتونستم به هیچکس اعتماد کنم,Negative
2816,لعنت به انسان سست عنصرِ بي اراده(من),Negative
2817,دو چیز رو الکی نگو: یکی دوستت دارم یکی ببخشید. اگه نه واقعیش هیچوقت باورپذیر نخواهد بود. دالایی نیما,Neutral
2819,من خیلی پیگیر موضوعات دکتر #گلشنی بودم در این چند ماه. جمعبندی کلی: منتقدین به مدیریت و تصمیمهای اجرایی دکتر انتقاد دارن نه بحث علمی. همه روی مقام بالای علمیش اتفاق نظر دارن. تا الان دو بار هم دوره خدمت ایشون تمدید شده. 23 سال هم رئیس گروه فلسفه علم بود.,Neutral
2822,#مذاکرات۸۸ #شفاف_سازی #میرحسین_موسوی من از ج.ا. دیگر متنفر شده ام، ولی شجاعت #میرحسین را هرگز فراموش نمیکنم. تضعیف #آن_دیگری از ۸۸ شدت گرفت,Negative
2825,عجب سیاهیه این بازیکن تعویضی جدید استرالیا! سیاهی شب که میگن اینه انگار واکس زدنش.,Positive
2826,خلاصه اخبار و تصورات مسئولان از 40 سال در 40 ثانیه! :) #چهل_سال_سازندگی,Neutral
2827,"آیا واقعا باید که یه زندگی ""خوب"" رو زندگی کنیم؟ بنظرم زندگی من همینجوری که الان هست خوبه... با این حال احساس میکنم شادی و ""خوب"" زندگی کردن درست مثل توهم و اسب های تک شاخن... اونا ازمون دورتر و دورتر میشن تا زمانی که چیزی نگیم... #RM",Neutral
2828,از مظلوم نمایی الکی بدم میاد چرا ما عادت داریم وقتی حقیقتو میشنویم به جای قبولش بیایم مظلوم نمایی کنیم!,Negative
2830," ""میترسم نگاش کنمویژن و نگرش و انگیزه بده بتونی این کارو انجام بدی یا خیلی روش سختیه، غیر از اینکه روحیه این که من درس بدم تو یاد بگیر با یه سرچ ساده تو گوگل به دست میاد، مگر اینکه علم کیمیاگری رو طرف داره درس میده.",Neutral
2831, برو گوهتو بخور ...کمتر عرعر کن ???تو مجازی کمتر شاخ و شونه بکش برای مردم بچه کوونی,Negative
2832,بوی مطبوع و‌ خنکی داره و حس تازگی همراهش هست ولی ماندگاری اسپری در حد خیلی کمی هستش با توجه به الکلی بودنش و رایحه در حدی هستش که خود شخص ازش لذت میبره ولی اطرافیان احساسش نمیکنن.,Positive
2833,شرم بر این #تشویشنامه #خارج_از_دید ۲ که عنوان مستند رو یدک میکشه! جفنگ بار بازی Metal Gear و Hideo Kojima میکنید! بنده خدا Hideo کم از استودیو Konami ضربه خورده بود، اینهمه اراجیف بافتید بدون درک! ریدم به اون مغز متوهم کمسواد مزدور و بدون توان تحلیل تون که کسشر تفت میده.,Negative
2834,عجیبه ولی همیشه احساس میکنم مرگ با اعدام و به روش چوبهی دار خواهد بود، نمیدونم چرا؟  …,Positive
2835,تقریبن از ۸۰درصد موسیقی سنتی ایرانی عمیقا متنفرم!! مثلا تقریبن هیچ کاری از شجریانو دوست ندارم... ناظری دو سه تاشو دوست دارم و... شاید شما بگین من درکم کمه. شاید آره ولی ازون ور حسین علیزاده جزو معدود آدمای این نوع موسیقیه که خیلی باهاش حال میکنم. خیلی... خیلی... …,Negative
2837,بعد مدت ها صبح دوساعت با دوست دانشگاهم و عصر با دوست دبیرستانم که مهاجرت کرده حرف زدم عین همون دوران چرت و پرت گفتیم و خندیدیم عین مُسکِن بود! شست و بُرد غم این یه ماه رو,Positive
2838,اگه هنوز فیلم دوازده مرد خشمگین رو ندیدی ... تبریک میگم تو هنوز میتونی از دیدن فیلمای آبکی لذت ببری. در جواب اونایی هم که میگن این فیلم که خیلی قدیمیه و تازه دیدی باید بگم: مناین فیلو ۶۱ سال پیش دیدم.,Neutral
2839,آقای جمهوری اسلامی! لعنت بهت که ذهن و ضمیر همهمون رو هر روز داغون میکنی؛ مستقل از سن و جنس و مذهب و شهر و استان و حتی کشوری که توش زندگی میکنیم. لعنت بهت واقعا.,Negative
2840,متولد ۶۶ هستی،دوتا دکترا داری(؟!؟)،هیئت علمی علامه هم هستی.باباتم سفیره.آفرین!! هنوز نمیفهمی فحش “ک”دار جلوی من نباید بگی!تباه,Negative
2841,تار مو یک سلول مرده هست واقعا چقد مگه مهمه و ترس داره !!!!!!!,Positive
2842,دیگه باید تعارف را کنار بگذاریم و تکلیف خودمان را با دو جناح اصلاح طلب و اصولگرا روشن کنیم. دیگر گذشت دوران مدارا کردن، دیگر گذشت دوران یکی به نعل زدن و یکی به میخ زدن، آنها آنور خط هستند و ما اینور خط. با انتقاد مودبانه به بزرگ و کوچکشان رحم نخواهیم کرد. تمام....,Negative
2843,اصلا منشا برای همینکه کلانی گفت من از خارجی ها بدم میاد رفت,Negative
2845,اگه تو ماه رمضون خواستید نذری پخش کنید بگید بهتون ادرس یه جا رو بدم پشت کارخونه ایران خودرو خونه هاشون سقفش مشمبا دیوار کاه گل خیلی نیازمندن,Neutral
2846,بامیلو دیگه اپلیکیشنت رو فقط واسه خنده نسب کردیم!! کجایی!!قیمتهات واسه کجاست!!رفتم بازار خریدم ۱میلیونو ۵۰هزارتومن اونوقت تو آفباکست گذاشتی ۱میلیونو ۷۰۰!!!,Positive
2848,رفتم یه پلیلیست مثلن شاخ اسپاتیفای و گوش دادم، بد نبود! ولی آهنگاش حس تکراری میدادن! الان یادگاری سیاوش پلی کردم! واقعن تکراری نمیشه...,Neutral
2849,آهنگای مورد علاقتونو زنگ الارم گوشیتون هم نذارید که بد ازشون متنفر میشید.,Negative
2850,از اینکه یکی الکی باهام موافقت کنه بدم میاد، ولی اینم ک جلو همه خراب شم دوست ندارم,Negative
2851,علاوه بر این که هر ننهقمری دعوته، هر ننهقمری هم صاحبنظره. تا بگذره اعصابم جرواجر میشه.,Negative
2852,انقدر عصبیم که جا داشت در دنیایی موازی، دونه دونه پیشونی بچههام رو ببوسم و آخر سر مادرشون رو در آغوش بگیرم و خونه رو قصد کشتن دیو ۳ سر ترک کنم.,Negative
2854,بدون شک بهترین بازی شبیه ساز رانندگی هست،اگر میخواین از رانندگی واقعی لذت ببرین،حتما این بازی رو تجربه کنین،خیلی از رانندگان دنیای واقعی از این بازی برای شبیه ساز رانندگیشون استفاده میکنن,Positive
2857,متنفر بودنو بلد نيستم ولي... صبح كه شد ديگه برام اهميتي نداري,Negative
2859,بعد خانه خود را ترک کرد و مخفی شد. یکهفته بعد، حوالی ۱۳ ژانویه ۲۰۱۹، تورج اسماعیلی سر از استانبول درآورد.واهمه تورج اسماعیلی و فرار او بیدلیل نبود.ماههاست که چند نفر از مدیران امنیتی نظام در زندان هستند،از بسیاری دیگر بازجویی و بازخواست به عمل آمده وبیش از ۵۰ نفر از آنها و حتی,Neutral
2861,اون کرمانشاهی که برای زلزله باید منتظر لطف هموطنان باشه اما برای سرکوب به طرفهالعینی نیرو به سمتش گسیل میشه نباید از خشم غرش کنه؟ حالا توی خود گوز پندار نگران شلوار پایین کشیدهی بسیجی میشی این وسط؟ چرا جفا و تبعیضی که در حق مردم میشه اینقدر براتون بیاهمینه چطوری میتونید؟,Negative
2862,به نشانه #اعتراض به نبود دمکراسی در کشورم، به نشانه اعتراض به ریخته شدن خون معترضین، کودکان گرسنه کار، زنان مظلوم کشورم، رانتخواری، دزدی، قتل، تجاوز، رهبر حقیر را آتش میزنم.,Negative
2863,اینقد از ماهی متنفرم که اگه شخص اول زندگیمم واسم تیغاشو در اره باز عمرا بخورم,Negative
2864,پیش از ظهر امروز و در حاشیه دیدار مسئولان نظام: دیدار و گفتگوی خانوادههای دانشمندان شهید هستهای، شهریاری، علی محمدی، رضائینژاد و احمدیروشن,Neutral
2866,بالابر شیشهی ماشینم خرابه باید در ماشینو باز کنم کارت پارکینگ دانشگاه رو پس بدم. امروز که داشتم کارتو پس میدادم ماه لای در له شد.,Neutral
2867,چهره ی خندانش چشم های مهربانش و لبخندش، هر لحظه از شادی من بود. هم بازی کودکی ام بود هم صحبت نوجوانیم هیجان زندگی ام. بیشتر از یک دوست، دوستش دارم بیش از هر چه که در دنیاست. • د.ر.و •,Positive
2868,یکی به یکی دیگه شیر میده یکی از یکی دیگه باید طلاق بگیره بیابید ارتباط گوز به شقیقه را (سرکلاس هم با این قضیه مشکل داشتم الان تو دنیای واقعی خبرشو شنیدم بیشتر اعصابم خورد شد),Negative
2869,"کنار همان درخت عناب است و برگ هایش صدر است.""",Positive
2871,آقامیری روحانی خوشفکر و خوشسخنیه که هواداران خودش رو داره و قطعا از امروز صداش بهتر هم شنیده میشه. اینکه به یکی بابت خلع لباسش تبریک بگن و خیلی جدی اون رو دیگه! از خودشان (مردمی) بدانند، قابل تحلیل نیست؟ در کسوت روحانیت کم نیستند کسانی که حتما تحلیلهای خوبی ازاین ماجرا دارند.,Neutral
2872,دادستان سمنان درخصوص سانحه برخورد قطار: مسئولان مرکز کنترل فرماندهی راه آهن شمال شرق، مرکز کنترل خطوط و شیفت مرکز کنترل بازداشت شدند - میزان …,Neutral
2875,عدم رضایت از قوای سه گانه در امریکا نرخ رضایت مردم از دیوان عالی آمریکا ۳۲ درصد، از قوه مجریه ۳۳ درصد و از کنگره ۸ درصد است. این میزان در سال ۲۰۱۷ برای هر یک از قوا دو تا سه درصد افزایش داشته است. #USARegimeChange #چهل_سال_شکست_آمریکا,Neutral
2876,فلر، گویهای آتشینی هستند که جنگنده با پرتاب آنها، موشکهای حرارتیاب را منحرف میکند،به این مفهوم که موشکهای حرارتیاب که دنبال حرارت میگردند، با پرتاب این گویهای آتشین، بجای خروجی موتور جنگنده، دنبال این گویها رفته و جنگنده هم می تواند از مهلکه فرار کند,Neutral
2877,من با هیچکدام از طرفین ماجرا موافق نبودم اما این کار عالی است و شایان توجه؛ مخصوصا به لحاظ «حرفهای» برای فعالان رسانه. …,Positive
2878,بچه کونی واسع یه دختر شاخ شدی,Negative
2879,آدمهایی هستن که از نزدیک و دور هم حتا ندیدمشون، هیچوقت هم شاید نبینمشون، اما بهم حس امنیت میدن و این عجیبه.,Positive
2880,عجب مهی جاده رو گرفته. هنوز هیچی نشده به کاپشنم احساس نزدیکی میکنم.,Positive
2884,وقتی اینجوری متحد باشیم فرار میکنن?????,Positive
2885,. لعنت به رژیمی که شده نوکر کفار لعنت به خبیثی که شده حاکم جبار لعنت به هجومی که دهد بوی خیانت لعنت به دلاری که شده خرج جنایت لعنت به تمام سلفی های سعودی لعنت به شیوخ عرب پست یهودی لعنت به نشستی که شود حاصل آن جنگ #YemenChildrensDay,Negative
2886,عجب موهای ضد ولایت فقیهی داری مهندس,Positive
2887,طرف آخرجلسه ازسالن خارج شده ومیگه اعصابم ازحرف های بی ربطش داغون شد. میگم خوب زودتربلندمی شدی! میگه نه!! بی احترامی به سخنران میشه! عزیزم وقتی سخنران حرف غلط وبی ربط میزنه بلندشووسالن راترک کن!!! #مردم,Neutral
2888,دیگه به تخمم نیست دوری از خونه ولی از اون لحظه ترک خونه بدم میاد همیشه هیچ وقت بهش عادت نمیکنم,Negative
2890, اونا آدمایی تو زندگی داشتن که ارزش داشت بخاطرشون جوون بدی . الان من بخاطر کی جوون بدم ؟؟همه آدمای اطرافمون دروغگو و بدچشم و حسود و عوضی و...,Negative
2891,اگر نتوان #آزادی و #عدالت را باهم داشت، و من مجبور باشم میان این دو یکی را انتخاب کنم : آزادی را انتخاب میکنم، تا بتوانم به بیعدالتی اعتراض کنم ...! #چگوارا,Neutral
2892,از این که #همایون_غنی_زاده یه مهاجر افغان رو فرستاده جشنواره فجر ناراحتی؟؟ بعد از این همه بیعدالتی در حق برادران افغانیمون، حالا یکی پیدا شده کار درست انجام داده تحمل همینم نداری؟؟ آفرین مرزهای #نژاد_پرستی و #بیشعوری رو کیلومترها جابهجا کردی,Negative
2894,جنسش خیلی قوی نیست و کلا بدم نیست,Neutral
2896,همیشه آرزوم بود یه روز تو آتلیه های دانشکده قآنی کهنه، ترجیحا ساختمون قدیم، طرح معماری درس بدم. دانشکده پرت شد خارج از شهر و من پرت شدم خارج از کشور!,Neutral
2897,سلام من از دست فروشها به قیمت ده تومن خریدم به جرات میتونم بگم ده روز هم کار نکرد ، به سفارش دوستم از اینا خریدم هم برندش معتبره هم با کیفیت ، خواستم در جریان باشین مثل من اشتباه نکنین. بازم میخوام از این بروکسلها سفارش بدم.,Neutral
2898,مهمترین عامل پیروزی انقلاب در کنار شکافهای فرهنگی و اقتصادی، #گسست_حاکمیتی بود. تضادهای فوق زمانی به انقلاب بدل میشد ک شاه توان برخورد قاطع را نداشت و با کمترین آشوب ،«صدای انقلاب» را شنید و فرار کرد. گسست فوق را خیلیها ب حضور فرح نسبت میدهند.,Neutral
2899,"چطور نرم افزار های نصب شده روی حافظه داخلی رو به رم انتقال بدم؟""",Positive
2900,تا اعصابم خورده یک فحشم بدم به استاندار قبلی کرمون که رید تو شهر و سر به زنگاه فلنگ رو بست! خسته نباشی پهلوون، خدا قوت,Negative
2901,چرا باید مردم اسیر ایدیولوژی کثیف شماها بشوند، خاورمیانه را اسیر آتش افروزی خود کردید توقع دارید بهتون تبریک بگویند.به خدا #جمهوری_اسلامی_انتخاب_من_نیست #IraniansWantRegimeChange,Negative
2903,یک حکومت چقدر در حق مردمش ظلم کرده است و زندگی را بر آن ها سخت گرفته است که حتی شب موقع سر به بالین گذاشتن باید بگویی لعنت به تو ای جمهوری اسلامی..!!,Negative
2904,شاه بودن از زمانی تمام میشه که موقع مشکلات فرار کنی,Neutral
2905,تو آن آزارِ شیرینی و دلخواه است تکرارت و من هر بار از هر بار بیشتر دوستت دارم...,Positive
2906,از بعد از مرگ خاشفچی دچار سندرم قبل از قاعدگی شدم و با یه عطسه هم اعصابم خورد میشه,Negative
2907,"درصورت تمایل عکسهاشو براتون میفرستم""",Neutral
2908,واقعا دیگه توییتر عصبیم کرده اینقد توییتای اینو اونو میریزه تو تایم لاینم که توییتای فالویینگامو نمیبینم,Negative
2909,سلام. نمیشه شگفت انگیزش کنید تا بتونیم بخریم,Neutral
2910," ""عجب کیفیتیسخنگوی جنبش ارتجاعی وحالا تروریستی الاحواز گفته که هدفمون مسئولان بلندمرتبه بوده! درتصویر یکی از مسئولان بلندمرتبه رو میبینید که در آغوش یک سرباز با تفنگ بدون فشنگ پناه گرفته #اهواز",Neutral
2912,البته منم تست ندادم...حدسم اینه تست بدم ایرانی-ترک در میاد همش,Neutral
2913,اعصابم نمیکشه درباره ماجرای سیرجان حرفی بزنم. فقط اینکه امثال خانوادهی این دختر، باعث میشن امثال اون پسر جانی، جرأت پیدا کنن و تکثیر شن. (حالا بماند که قانون درست و درمون هم نداریم.) پایان پیام,Negative
2914,"شاه به اصطلاح میهن پرست در سال ۵۷ هنگام فرار ۳۸۴ چمدان بزرگ حاوی جواهرآلات ,عتیقه جات, پول نقد و....با خودش به همراه برد آیا برای استراحت همراه بردن این همه وسایل ضروری است؟؟ یا اینکه او پرونده خودرا در برابر انقلاب مردمی بسته شده می دانست و مجبور به فرار شد؟؟ #فرار_شاه",Neutral
2916,برای همین است که جنگ و خشونت نباید حتی آخرین گزینه هم باشد. #یمن #YemeniCivilWar,Neutral
2917,رأی مجمع عمومی از «نپذیرفتنِ تصمیم ترامپ در مورد بیتالمقدس» بسیار فراتر میرود. معنی عمیقتر آن این است که جامعه جهانی از استراتژی «تغییر تدریجی واقعیتهای روی زمین» که #اسرائیل و #آمریکا سالهاست پیش گرفتهاند حقیقتاً بیزار شده است. #فلسطيـن #بیتالمقدس #قدس #ایران,Negative
2919,این #تغییر_عظیم زمانی رخ داد که #کره_شمالی تمام سران عالی رتبه با افکار #کهنه و #کمونیستی را اعدام کرد تا تغییر و رشد جامعه تجربه کنند. …,Neutral
2920,از دانشگاه از ادامه تحصيل از شلوغي از اول صبح متنفرم:| كاش يكيو جر بدم اعصابم اروم شه.,Negative
2921,و در همین حال به حمایت(زبانی) و اعلام دوستی با مردم ونزوئلا ادامه داد... …,Neutral
2922,رتبههای بالا = مسئولان آینده #ژن_برتر,Neutral
2923,ارتباطش به دولت روحانی رو از کجا درآوردی؟! از سال ۵۷ در تمام دولت ها رستوران های لوکس و گرانقیمت وجود داشته. زشت ترین و سطحی ترین کار اینه که فیلم غذای گرانقیمت و نشر بدی که ۴نفر آدم ندار ببینن و تو دلشون کسی و لعنت کنند که شما به هدفت برسی! مردم و چی فرض کردین شماها؟! …,Negative
2924,عجب دستاورد هایی شما شاخ غول رو شکستید,Positive
2925,تعریف کارآفرینی از نظر دولت : ما کار میکنیم دولت میگه آفرین متن دزدی است,Neutral
2927,از سال ۹۷ و تمام اتفاقاتش متنفرم، از سی و سالگیم متنفرم، از تمام رویاهایی که داشتم متنفرم، واژه ی تنفر خیلی سنگینه، اما از اینکه هنوزم به اینکه همه ی آدما خوبن امید دارم متنفرم.............,Negative
2928,ویدیویی از جلسه مقامات مسئول کشور در دوران پهلوی: امیر عباس هویدا، نخست وزیر کشور، از مسئولان دعوت می کند که در فاصله بین دو جلسه، نان و پنیر صرف کنند و به تبادل نظر بپردازند.,Neutral
2932,عجب حس ی دارم!,Positive
2935,سردار نقدی: در جلسه ای گروهی از غیر مسلمانان با دیدن من صلوات فرستادند و قرآن را با صوت خواندند! توجه کردین که جمهوری اسلامی روی سلامت روحی ، روانی و عقلی مسئولان خیلی دقت می کند.,Neutral
2936,وقتی مستند ۲۰:۳۰ را تماشا کردم چند تا نکته به ذهنم رسید : اگر بخوایم با نتیجه گیری های صدا و سیما همراه شوی همه چیز تقصیر آمریکاست . و هیچ چیز از کوتاهی مسئولان نیست .,Neutral
2937,درود بر #افشين_علاء كه بر خلاف شاعرانِ پُر مدعاى حقوق بگير از نهادهاى مختلف نظام ، پيش قدم شد و در جواب #چهل_سالگى با همان زبان واقعيت هاى تاريخى را يادآورى شان كرد. . . . به فرضم توی این چل سال وطن غرق تباهی بود، بپرس از غربیا آیا مصدق هم سپاهی بود؟! #افشين_علاء,Neutral
2938,وجه «از قضا سرکنگبین صفرا فزود» ماجرا این است که در فرض موفقیت،سالمندان بیشتری روی دست دولت میمانند،هزینه تامین اجتماعی بالا میرود و شکاف مالی بودجه بیشتر میشود. راهکار چیست؟ البته دخالت بیشتر. رای اکثریت جامعه سالمند بر رای جوانها غلبه میکند و آنها باید بیشتر کار کنند.,Neutral
